category_en,category_zh,skill_name,description_en,description_zh,link,host_repo
Planning and Workflow,规划与工作流,project-development,Scopes LLM projects and designs practical research-agent architectures.,判断任务是否适合 LLM，并设计研究型 agent 架构。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/project-development,muratcankoylan/Agent-Skills-for-Context-Engineering
Planning and Workflow,规划与工作流,notion-research-documentation,Researches across Notion and synthesizes cited briefs and reports.,在 Notion 中检索资料、整理证据，并生成带引用的简报和报告。,https://github.com/openai/skills/tree/main/skills/.curated/notion-research-documentation,openai/skills
Planning and Workflow,规划与工作流,notion-knowledge-capture,"Captures conversations, notes, and decisions into structured Notion pages.",把对话、笔记和决策沉淀为结构化 Notion 页面。,https://github.com/openai/skills/tree/main/skills/.curated/notion-knowledge-capture,openai/skills
Planning and Workflow,规划与工作流,notion-meeting-intelligence,"Prepares agendas, pre-reads, and decision docs in Notion.",结合已有上下文准备会议议程、预读材料和决策文档。,https://github.com/openai/skills/tree/main/skills/.curated/notion-meeting-intelligence,openai/skills
Planning and Workflow,规划与工作流,autoresearch,"Orchestrates literature review, experiments, synthesis, and paper-writing workflows.",编排文献调研、实验迭代、结果综合和论文写作流程。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/0-autoresearch-skill,Orchestra-Research/AI-Research-SKILLs
Planning and Workflow,规划与工作流,brainstorming-research-ideas,Guides structured ideation for high-impact research directions.,用结构化框架帮助发现高价值研究方向。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/21-research-ideation/brainstorming-research-ideas,Orchestra-Research/AI-Research-SKILLs
Planning and Workflow,规划与工作流,creative-thinking-for-research,Applies creativity frameworks to generate less obvious research ideas.,使用创造性思维框架生成更有新意的研究想法。,https://github.com/Orchestra-Research/AI-Research-SKILLs/tree/main/21-research-ideation/creative-thinking-for-research,Orchestra-Research/AI-Research-SKILLs
Planning and Workflow,规划与工作流,openai-docs,Looks up current OpenAI product and API documentation with source-grounded guidance.,核对最新 OpenAI 产品和 API 文档，并给出有来源依据的建议。,https://github.com/openai/skills/tree/main/skills/.curated/openai-docs,openai/skills
Planning and Workflow,规划与工作流,huggingface-best,Finds and compares candidate models using official Hugging Face benchmark leaderboards and metadata.,基于 Hugging Face 官方 benchmark leaderboard 和元数据筛选、比较候选模型。,https://github.com/huggingface/skills/tree/main/skills/huggingface-best,huggingface/skills
Context and Agent Design,上下文与 Agent 设计,context-fundamentals,Explains how context works in agent systems.,解释 agent 系统里的上下文机制。,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-fundamentals,muratcankoylan/Agent-Skills-for-Context-Engineering
